Code,Product_Family,Variant,Length_mm,Width_mm,Height_mm,OD_mm,OD_Size_mm,Price_AED,Image_URL,Joule_J,item_id,slug
A-01-17-0229,HD ForkGuard Kerb Barrier,965 mm,965.0,,965.0,,,1257.67,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,7ab67d34bca9,hd-forkguard-kerb-barrier-965-mm-a-01-17-0229
A-01-17-0230,HD ForkGuard Kerb Barrier,1165 mm,1165.0,,1165.0,,,1405.56,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,cbaadb2baa7a,hd-forkguard-kerb-barrier-1165-mm-a-01-17-0230
A-01-17-0242,HD ForkGuard Kerb Barrier,1365 mm,1365.0,,1365.0,,,1543.78,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,9fad483dc783,hd-forkguard-kerb-barrier-1365-mm-a-01-17-0242
A-01-17-0232,HD ForkGuard Kerb Barrier,1800 mm,1800.0,,1800.0,,,2227.06,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,27972a2b2034,hd-forkguard-kerb-barrier-1800-mm-a-01-17-0232
A-01-17-0233,HD ForkGuard Kerb Barrier,2000 mm,2000.0,,2000.0,,,2413.94,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,76f5f193f964,hd-forkguard-kerb-barrier-2000-mm-a-01-17-0233
A-01-17-0234,HD ForkGuard Kerb Barrier,2200 mm,2200.0,,2200.0,,,2542.49,https://webcdn.asafe.com/media/rovdmqfg/forkguard-kerb-barrier-hd.png?height=278&v=1d6f4c84a9d3f60&width=578,4500.0,ca8f622fbb47,hd-forkguard-kerb-barrier-2200-mm-a-01-17-0234
A-01-22-0015,Step Guard,600 mm,600.0,,600.0,,,1211.81,https://webcdn.asafe.com/media/4106/step_guard_1156x556.jpg?height=278&v=1d6f4c84a9d3f60&width=578,10500.0,7308f548811c,step-guard-600-mm-a-01-22-0015
A-01-22-0014,Step Guard,900 mm,900.0,,900.0,,,1801.8,https://webcdn.asafe.com/media/4106/step_guard_1156x556.jpg?height=278&v=1d6f4c84a9d3f60&width=578,10500.0,aabeee880ab1,step-guard-900-mm-a-01-22-0014
A-01-22-0013,Step Guard,1200 mm,1200.0,,1200.0,,,2324.4,https://webcdn.asafe.com/media/4106/step_guard_1156x556.jpg?height=278&v=1d6f4c84a9d3f60&width=578,10500.0,ecdb1f1d9147,step-guard-1200-mm-a-01-22-0013
A-01-12-0368,Traffic Gate,2000 mm,2000.0,,2000.0,,,14999.59,https://webcdn.asafe.com/media/6089/iflextrafficswinggate_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,,71f8658f8342,traffic-gate-2000-mm-a-01-12-0368
A-01-12-0369,Traffic Gate,2500 mm,2500.0,,2500.0,,,17067.71,https://webcdn.asafe.com/media/6089/iflextrafficswinggate_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,,497a5702c094,traffic-gate-2500-mm-a-01-12-0369
A-01-12-0371,Traffic Gate,3000 mm,3000.0,,3000.0,,,18998.8,https://webcdn.asafe.com/media/6089/iflextrafficswinggate_hero_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,,a243d5a3a9df,traffic-gate-3000-mm-a-01-12-0371
P-03-01-0017,iFlex RackGuard,"Small Short Leg, No Internal Rubber, Yellow",600.0,,,,,156.0,https://webcdn.asafe.com/media/hy4npla5/rackguard-in-situ.png?height=278&v=1d93c967a8d1e90&width=578,1000.0,64d3f83741d4,iflex-rackguard-small-short-leg-no-internal-rubber-yellow-p-03-01-0017
S-01-07-0057,"Bollard, Yellow",190 OD x 835 mm,,,835.0,190.0,,1557.5,https://webcdn.asafe.com/media/6103/iflexbollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,c7403c6db6f9,bollard-yellow-190-od-x-835-mm-s-01-07-0057
S-01-07-0053,"Bollard, Yellow",190 OD x 1200 mm,,,1200.0,190.0,,1865.14,https://webcdn.asafe.com/media/6103/iflexbollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,25f02eef95bd,bollard-yellow-190-od-x-1200-mm-s-01-07-0053
S-01-07-0065,"Bollard, Yellow",210 OD x 1200 mm,,,1200.0,210.0,,2348.11,https://webcdn.asafe.com/media/6103/iflexbollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,51f3d5face66,bollard-yellow-210-od-x-1200-mm-s-01-07-0065
S-01-07-0073,"Heavy Duty Bollard, Yellow, GALV",210 OD x 1200 mm,,,1200.0,210.0,,3056.98,https://webcdn.asafe.com/media/6100/iflexheavydutybollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,2433976419c0,heavy-duty-bollard-yellow-galv-210-od-x-1200-mm-s-01-07-0073
S-01-07-0078,"Bollard, Grey",190 OD x 1200 mm,,,1200.0,190.0,,1857.65,https://webcdn.asafe.com/media/6103/iflexbollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,5ee679f7ae93,bollard-grey-190-od-x-1200-mm-s-01-07-0078
S-01-07-0090,"Bollard, Grey",210 OD x 1200 mm,,,1200.0,210.0,,2338.44,https://webcdn.asafe.com/media/6103/iflexbollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,77b740991f8a,bollard-grey-210-od-x-1200-mm-s-01-07-0090
S-01-07-0103,"Heavy Duty Bollard, Grey, GALV",210 OD x 1200 mm,,,1200.0,210.0,,3163.68,https://webcdn.asafe.com/media/6100/iflexheavydutybollard_situ_1156x556_04.jpg?height=278&v=1d6876cf48ce360&width=578,,cda76fc0946e,heavy-duty-bollard-grey-galv-210-od-x-1200-mm-s-01-07-0103
S-02-02-0007,Alarm Bar,Yellow 2000 mm,2000.0,,2000.0,,,3728.4,https://webcdn.asafe.com/media/4871/alarmbar_qtr.jpg?height=278&v=1d68757ad8fdf40&width=578,200.0,7001735ea540,alarm-bar-yellow-2000-mm-s-02-02-0007
A-01-22-0002,Dock Buffer (Pair),,,,,,,2288.21,https://webcdn.asafe.com/media/9782/dockbuffer_insitu_01_1156x556.jpg?height=278&v=1d6f4c9cb7f4dd0&width=578,,3b5319e7f33d,dock-buffer-pair-nan-a-01-22-0002
A-01-22-0005,Truck Stop,,,,,,,792.17,,,9b5ae30e0196,truck-stop-nan-a-01-22-0005
A-01-22-0011,Coach Stop,,,,,,,590.93,,,eb84c62697a4,coach-stop-nan-a-01-22-0011
A-01-22-0010,Car Stop,,,,,,,333.84,,,f06fd8af3309,car-stop-nan-a-01-22-0010
A-01-14-0036,FlexiShield Corner Guard,Yellow,,,1000.0,,,311.38,https://webcdn.asafe.com/media/8507/corner_guard_1156x556_02.jpg?height=278&v=1d6876cf48ce360&width=578,200.0,92b63de75dba,flexishield-corner-guard-yellow-a-01-14-0036
